X,Y,method,alternative,n,r,CI95%,p-unc,p-corr,p-adjust,BF10,power,X_desc,Y_desc,X_COG,Y_COG,COG_pair
PF00380.20,TIGR00061,pearson,two-sided,53430,0.40894955720101783,[0.4  0.42],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein bL21,J,J,"J,J"
PF00380.20,TIGR00064,pearson,two-sided,49760,0.34264393937399584,[0.33 0.35],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,signal recognition particle-docking protein FtsY,J,U,"J,U"
PF00380.20,TIGR00065,pearson,two-sided,49249,0.29876998869036503,[0.29 0.31],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,cell division protein FtsZ,J,D,"D,J"
PF00380.20,TIGR00082,pearson,two-sided,52240,0.44518206682914907,[0.44 0.45],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosome-binding factor A,J,J,"J,J"
PF00380.20,TIGR00083,pearson,two-sided,48767,0.43484134053755014,[0.43 0.44],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,riboflavin biosynthesis protein RibF,J,H,"H,J"
PF00380.20,TIGR00084,pearson,two-sided,51425,0.37823440468349473,[0.37 0.39],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,Holliday junction DNA helicase RuvA,J,L,"J,L"
PF00380.20,TIGR00086,pearson,two-sided,52751,0.4514772833228496,[0.44 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,SsrA-binding protein,J,O,"J,O"
PF00380.20,TIGR00088,pearson,two-sided,53672,0.4862159199659036,[0.48 0.49],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,tRNA (guanine(37)-N(1))-methyltransferase,J,J,"J,J"
PF00380.20,TIGR00090,pearson,two-sided,49490,0.29443985309111426,[0.29 0.3 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosome silencing factor,J,J,"J,J"
PF00380.20,TIGR00092,pearson,two-sided,52268,0.2617804657677685,[0.25 0.27],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,GTP-binding protein YchF,J,J,"J,J"
PF00380.20,TIGR00095,pearson,two-sided,50778,0.39547412100330515,[0.39 0.4 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,J,J,"J,J"
PF00380.20,TIGR00115,pearson,two-sided,49550,0.4569615700796089,[0.45 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,trigger factor,J,O,"J,O"
PF00380.20,TIGR00116,pearson,two-sided,53497,0.2694373207966926,[0.26 0.28],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,translation elongation factor Ts,J,J,"J,J"
PF00380.20,TIGR00138,pearson,two-sided,47446,0.39175560044253455,[0.38 0.4 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,J,J,"J,J"
PF00380.20,TIGR00158,pearson,two-sided,53003,0.42325072055182617,[0.42 0.43],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein bL9,J,J,"J,J"
PF00380.20,TIGR00166,pearson,two-sided,53413,0.4145896170449419,[0.41 0.42],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein bS6,J,J,"J,J"
PF00380.20,TIGR00168,pearson,two-sided,52448,0.4159738897157329,[0.41 0.42],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,translation initiation factor IF-3,J,J,"J,J"
PF00380.20,TIGR00186,pearson,two-sided,45610,0.46960629040018714,[0.46 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"RNA methyltransferase, TrmH family, group 3",J,J,"J,J"
PF00380.20,TIGR00194,pearson,two-sided,52427,0.5208215173055821,[0.51 0.53],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,excinuclease ABC subunit C,J,L,"J,L"
PF00380.20,TIGR00250,pearson,two-sided,51008,0.47860653149230814,[0.47 0.49],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,putative transcription antitermination factor YqgF,J,J,"J,J"
PF00380.20,TIGR00337,pearson,two-sided,49427,0.46752508553950545,[0.46 0.47],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,CTP synthase,J,F,"F,J"
PF00380.20,TIGR00344,pearson,two-sided,52681,0.4662676712401941,[0.46 0.47],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,alanine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00362,pearson,two-sided,50848,0.5175056684004151,[0.51 0.52],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,chromosomal replication initiator protein DnaA,J,L,"J,L"
PF00380.20,TIGR00382,pearson,two-sided,44882,0.38693816892352484,[0.38 0.39],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"ATP-dependent Clp protease, ATP-binding subunit ClpX",J,O,"J,O"
PF00380.20,TIGR00392,pearson,two-sided,51311,0.5633607912132709,[0.56 0.57],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,isoleucine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00396,pearson,two-sided,52326,0.4933762703702466,[0.49 0.5 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,leucine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00398,pearson,two-sided,51731,0.48439540881813725,[0.48 0.49],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,methionine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00414,pearson,two-sided,52235,0.5098151037853207,[0.5  0.52],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,serine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00416,pearson,two-sided,45472,0.41019520026933753,[0.4  0.42],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,DNA repair protein RadA,J,L,"J,L"
PF00380.20,TIGR00420,pearson,two-sided,51306,0.49294293916457393,[0.49 0.5 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,J,J,"J,J"
PF00380.20,TIGR00431,pearson,two-sided,51750,0.42022675898564354,[0.41 0.43],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,tRNA pseudouridine(55) synthase,J,J,"J,J"
PF00380.20,TIGR00435,pearson,two-sided,51441,0.5290907892925112,[0.52 0.54],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,cysteine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00436,pearson,two-sided,47484,0.48562656488093503,[0.48 0.49],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,GTP-binding protein Era,J,J,"J,J"
PF00380.20,TIGR00442,pearson,two-sided,52387,0.47897930813075096,[0.47 0.49],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,histidine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00445,pearson,two-sided,50499,0.32287543347026476,[0.32 0.33],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,phospho-N-acetylmuramoyl-pentapeptide-transferase,J,M,"J,M"
PF00380.20,TIGR00456,pearson,two-sided,51616,0.5333181266355811,[0.53 0.54],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,arginine--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00459,pearson,two-sided,49388,0.3951322305604533,[0.39 0.4 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,aspartate--tRNA ligase,J,J,"J,J"
PF00380.20,TIGR00460,pearson,two-sided,52137,0.47352060744960023,[0.47 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,methionyl-tRNA formyltransferase,J,J,"J,J"
PF00380.20,TIGR00468,pearson,two-sided,53207,0.4962092455205376,[0.49 0.5 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"phenylalanine--tRNA ligase, alpha subunit",J,J,"J,J"
PF00380.20,TIGR00472,pearson,two-sided,52463,0.5235483572753628,[0.52 0.53],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"phenylalanine--tRNA ligase, beta subunit",J,J,"J,J"
PF00380.20,TIGR00487,pearson,two-sided,53645,0.3673870188076882,[0.36 0.37],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,translation initiation factor IF-2,J,J,"J,J"
PF00380.20,TIGR00496,pearson,two-sided,54300,0.380854401960812,[0.37 0.39],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosome recycling factor,J,J,"J,J"
PF00380.20,TIGR00539,pearson,two-sided,47911,0.3332285486205386,[0.33 0.34],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,putative oxygen-independent coproporphyrinogen III oxidase,J,H,"H,J"
PF00380.20,TIGR00580,pearson,two-sided,49289,0.43692064298129946,[0.43 0.44],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,transcription-repair coupling factor,J,L,"J,L"
PF00380.20,TIGR00593,pearson,two-sided,51647,0.48868459460879643,[0.48 0.5 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,DNA polymerase I,J,L,"J,L"
PF00380.20,TIGR00615,pearson,two-sided,52941,0.4579846279053983,[0.45 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,recombination protein RecR,J,L,"J,L"
PF00380.20,TIGR00631,pearson,two-sided,52322,0.3610696028345976,[0.35 0.37],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,excinuclease ABC subunit B,J,L,"J,L"
PF00380.20,TIGR00634,pearson,two-sided,47035,0.5055512968983464,[0.5  0.51],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,DNA repair protein RecN,J,L,"J,L"
PF00380.20,TIGR00635,pearson,two-sided,52199,0.4369381278917966,[0.43 0.44],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,Holliday junction DNA helicase RuvB,J,L,"J,L"
PF00380.20,TIGR00643,pearson,two-sided,50163,0.4886009360337297,[0.48 0.5 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ATP-dependent DNA helicase RecG,J,L,"J,L"
PF00380.20,TIGR00663,pearson,two-sided,50566,0.37902031897056876,[0.37 0.39],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"DNA polymerase III, beta subunit",J,L,"J,L"
PF00380.20,TIGR00717,pearson,two-sided,43951,0.43701343591631614,[0.43 0.44],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein bS1,J,J,"J,J"
PF00380.20,TIGR00755,pearson,two-sided,52740,0.48839335637605846,[0.48 0.49],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal RNA small subunit methyltransferase A,J,J,"J,J"
PF00380.20,TIGR00810,pearson,two-sided,52703,0.2345711987023324,[0.23 0.24],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"preprotein translocase, SecG subunit",J,U,"J,U"
PF00380.20,TIGR00922,pearson,two-sided,50241,0.5160314195566064,[0.51 0.52],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,transcription termination/antitermination factor NusG,J,K,"J,K"
PF00380.20,TIGR00928,pearson,two-sided,45559,0.4190465965819722,[0.41 0.43],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,adenylosuccinate lyase,J,F,"F,J"
PF00380.20,TIGR00959,pearson,two-sided,49191,0.41018903362238646,[0.4  0.42],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,signal recognition particle protein,J,U,"J,U"
PF00380.20,TIGR00963,pearson,two-sided,51175,0.5556746691875663,[0.55 0.56],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"preprotein translocase, SecA subunit",J,U,"J,U"
PF00380.20,TIGR00964,pearson,two-sided,49161,0.20399113856142997,[0.2  0.21],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"preprotein translocase, SecE subunit",J,U,"J,U"
PF00380.20,TIGR00967,pearson,two-sided,51695,0.41939603834706357,[0.41 0.43],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"preprotein translocase, SecY subunit",J,U,"J,U"
PF00380.20,TIGR01009,pearson,two-sided,50635,0.37712609492993865,[0.37 0.38],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uS3,J,J,"J,J"
PF00380.20,TIGR01011,pearson,two-sided,53383,0.44599649059046026,[0.44 0.45],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uS2,J,J,"J,J"
PF00380.20,TIGR01017,pearson,two-sided,51602,0.3756328910749424,[0.37 0.38],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uS4,J,J,"J,J"
PF00380.20,TIGR01021,pearson,two-sided,51707,0.3998195460699402,[0.39 0.41],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uS5,J,J,"J,J"
PF00380.20,TIGR01029,pearson,two-sided,50437,0.2655707793502091,[0.26 0.27],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uS7,J,J,"J,J"
PF00380.20,TIGR01032,pearson,two-sided,53563,0.3269014527793195,[0.32 0.33],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein bL20,J,J,"J,J"
PF00380.20,TIGR01039,pearson,two-sided,44848,0.34995427574998705,[0.34 0.36],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"ATP synthase F1, beta subunit",J,C,"C,J"
PF00380.20,TIGR01044,pearson,two-sided,50446,0.24955244607761948,[0.24 0.26],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uL22,J,J,"J,J"
PF00380.20,TIGR01059,pearson,two-sided,49089,0.4264257806055144,[0.42 0.43],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"DNA gyrase, B subunit",J,L,"J,L"
PF00380.20,TIGR01063,pearson,two-sided,50051,0.3908297269134252,[0.38 0.4 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"DNA gyrase, A subunit",J,L,"J,L"
PF00380.20,TIGR01066,pearson,two-sided,56224,0.33243933961359196,[0.33 0.34],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uL13,J,J,"J,J"
PF00380.20,TIGR01071,pearson,two-sided,51959,0.18157705071981603,[0.17 0.19],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uL15,J,J,"J,J"
PF00380.20,TIGR01079,pearson,two-sided,50979,0.39831668810869464,[0.39 0.41],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uL24,J,J,"J,J"
PF00380.20,TIGR01082,pearson,two-sided,49641,0.45578938006808656,[0.45 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,UDP-N-acetylmuramate--L-alanine ligase,J,M,"J,M"
PF00380.20,TIGR01087,pearson,two-sided,51066,0.42445908533456406,[0.42 0.43],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,UDP-N-acetylmuramoylalanine--D-glutamate ligase,J,M,"J,M"
PF00380.20,TIGR01128,pearson,two-sided,50209,0.45615023294817286,[0.45 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"DNA polymerase III, delta subunit",J,L,"J,L"
PF00380.20,TIGR01146,pearson,two-sided,45428,0.3516364786881193,[0.34 0.36],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"ATP synthase F1, gamma subunit",J,C,"C,J"
PF00380.20,TIGR01164,pearson,two-sided,50774,0.32706501404342975,[0.32 0.33],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uL16,J,J,"J,J"
PF00380.20,TIGR01169,pearson,two-sided,50208,0.4772093372636034,[0.47 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uL1,J,J,"J,J"
PF00380.20,TIGR01171,pearson,two-sided,50730,0.5505362385392515,[0.54 0.56],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uL2,J,J,"J,J"
PF00380.20,TIGR01302,pearson,two-sided,45305,0.40157251948997946,[0.39 0.41],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,inosine-5'-monophosphate dehydrogenase,J,F,"F,J"
PF00380.20,TIGR01391,pearson,two-sided,51056,0.47180456558314104,[0.47 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,DNA primase,J,L,"J,L"
PF00380.20,TIGR01393,pearson,two-sided,52154,0.42720896937821723,[0.42 0.43],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,elongation factor 4,J,J,"J,J"
PF00380.20,TIGR01394,pearson,two-sided,49328,0.5314701300330337,[0.53 0.54],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,GTP-binding protein TypA/BipA,J,T,"J,T"
PF00380.20,TIGR01510,pearson,two-sided,49937,0.3251581856401343,[0.32 0.33],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,pantetheine-phosphate adenylyltransferase,J,H,"H,J"
PF00380.20,TIGR01632,pearson,two-sided,50540,0.2622331055277504,[0.25 0.27],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uL11,J,J,"J,J"
PF00380.20,TIGR01951,pearson,two-sided,52246,0.43926027844309956,[0.43 0.45],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,transcription antitermination factor NusB,J,K,"J,K"
PF00380.20,TIGR01953,pearson,two-sided,53831,0.4529583408851821,[0.45 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,transcription termination factor NusA,J,K,"J,K"
PF00380.20,TIGR02012,pearson,two-sided,51943,0.3972038913975226,[0.39 0.4 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,protein RecA,J,L,"J,L"
PF00380.20,TIGR02013,pearson,two-sided,49335,0.41403681124578,[0.41 0.42],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"DNA-directed RNA polymerase, beta subunit",J,K,"J,K"
PF00380.20,TIGR02027,pearson,two-sided,51714,0.47522756444463793,[0.47 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"DNA-directed RNA polymerase, alpha subunit",J,K,"J,K"
PF00380.20,TIGR02075,pearson,two-sided,50355,0.387389183515309,[0.38 0.39],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,UMP kinase,J,F,"F,J"
PF00380.20,TIGR02191,pearson,two-sided,50200,0.3867072443788502,[0.38 0.39],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribonuclease III,J,J,"J,J"
PF00380.20,TIGR02273,pearson,two-sided,46267,0.47079709234169076,[0.46 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,16S rRNA processing protein RimM,J,J,"J,J"
PF00380.20,TIGR02350,pearson,two-sided,47074,0.3259356531547025,[0.32 0.33],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,chaperone protein DnaK,J,J,"J,J"
PF00380.20,TIGR02386,pearson,two-sided,48058,0.4531930569705726,[0.45 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"DNA-directed RNA polymerase, beta' subunit",J,K,"J,K"
PF00380.20,TIGR02397,pearson,two-sided,51999,0.47290839268125706,[0.47 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,"DNA polymerase III, subunit gamma and tau",J,L,"J,L"
PF00380.20,TIGR02432,pearson,two-sided,50340,0.4684291777962774,[0.46 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,tRNA(Ile)-lysidine synthetase,J,J,"J,J"
PF00380.20,TIGR02729,pearson,two-sided,52884,0.43848868920977746,[0.43 0.45],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,Obg family GTPase CgtA,J,J,"J,J"
PF00380.20,TIGR03263,pearson,two-sided,50348,0.44831770781695646,[0.44 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,guanylate kinase,J,F,"F,J"
PF00380.20,TIGR03594,pearson,two-sided,51496,0.5387367388391825,[0.53 0.54],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosome-associated GTPase EngA,J,J,"J,J"
PF00380.20,TIGR03625,pearson,two-sided,51042,0.48852419694701843,[0.48 0.5 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,50S ribosomal protein uL3,J,J,"J,J"
PF00380.20,TIGR03632,pearson,two-sided,51849,0.3756935886261604,[0.37 0.38],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uS11,J,J,"J,J"
PF00380.20,TIGR03654,pearson,two-sided,51087,0.34668617953927444,[0.34 0.35],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,ribosomal protein uL6,J,J,"J,J"
PF00380.20,TIGR03723,pearson,two-sided,52728,0.4225001868953916,[0.42 0.43],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,tRNA threonylcarbamoyl adenosine modification protein TsaD,J,J,"J,J"
PF00380.20,TIGR03725,pearson,two-sided,49072,0.3573889641750901,[0.35 0.37],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,tRNA threonylcarbamoyl adenosine modification protein YeaZ,J,J,"J,J"
PF00380.20,TIGR03953,pearson,two-sided,50867,0.4747319648592651,[0.47 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S9/S16,50S ribosomal protein uL4,J,J,"J,J"
PF00410.20,PF00466.21,pearson,two-sided,49901,0.3408217340855855,[0.33 0.35],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,Ribosomal protein L10,J,J,"J,J"
PF00410.20,PF01025.20,pearson,two-sided,47696,0.47469706546428475,[0.47 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,GrpE,J,O,"J,O"
PF00410.20,PF02576.18,pearson,two-sided,42727,0.46601979235990776,[0.46 0.47],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,RimP N-terminal domain,J,J,"J,J"
PF00410.20,PF03726.15,pearson,two-sided,47658,0.26753828379844813,[0.26 0.28],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,"Polyribonucleotide nucleotidyltransferase, RNA binding domain",J,J,"J,J"
PF00410.20,TIGR00006,pearson,two-sided,50256,0.46821641732632596,[0.46 0.48],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,16S rRNA (cytosine(1402)-N(4))-methyltransferase,J,J,"J,J"
PF00410.20,TIGR00019,pearson,two-sided,50824,0.40579875959315503,[0.4  0.41],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,peptide chain release factor 1,J,J,"J,J"
PF00410.20,TIGR00020,pearson,two-sided,50005,0.5026006275457687,[0.5  0.51],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,peptide chain release factor 2,J,J,"J,J"
PF00410.20,TIGR00029,pearson,two-sided,50694,0.49393032412898835,[0.49 0.5 ],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,ribosomal protein bS20,J,J,"J,J"
PF00410.20,TIGR00043,pearson,two-sided,50006,0.35984990334918304,[0.35 0.37],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,rRNA maturation RNase YbeY,J,J,"J,J"
PF00410.20,TIGR00054,pearson,two-sided,49494,0.45539665611418356,[0.45 0.46],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,RIP metalloprotease RseP,J,O,"J,O"
PF00410.20,TIGR00059,pearson,two-sided,52355,0.3787599646600538,[0.37 0.39],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,ribosomal protein bL17,J,J,"J,J"
PF00410.20,TIGR00061,pearson,two-sided,51255,0.3744121853693853,[0.37 0.38],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,ribosomal protein bL21,J,J,"J,J"
PF00410.20,TIGR00064,pearson,two-sided,47390,0.3111684784434793,[0.3  0.32],0.0,0.0,fdr_bh,inf,1.0,Ribosomal protein S8,signal recognition particle-docking protein FtsY,J,U,"J,U"
