X,Y,method,covar,alternative,n,r,CI95%,p-unc,p-corr,p-adjust,X_desc,Y_desc,X_COG,Y_COG,COG_pair
PF00380.20,TIGR01032,pearson,['genome_avg_NOSC'],two-sided,53563,0.08492748156329975,[0.08 0.09],2.6122237908938048e-86,3.7452365194742505e-86,fdr_bh,Ribosomal protein S9/S16,ribosomal protein bL20,J,J,"J,J"
PF00380.20,TIGR01039,pearson,['genome_avg_NOSC'],two-sided,44848,0.1060294038507829,[0.1  0.12],2.8395866369415584e-112,4.377083028446184e-112,fdr_bh,Ribosomal protein S9/S16,"ATP synthase F1, beta subunit",J,C,"C,J"
PF00380.20,TIGR01044,pearson,['genome_avg_NOSC'],two-sided,50446,-0.026020467540523128,[-0.03 -0.02],5.064694135864918e-09,5.499074837298588e-09,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uL22,J,J,"J,J"
PF00380.20,TIGR01059,pearson,['genome_avg_NOSC'],two-sided,49089,0.08269683952054382,[0.07 0.09],3.1162808405817033e-75,4.338971373196833e-75,fdr_bh,Ribosomal protein S9/S16,"DNA gyrase, B subunit",J,L,"J,L"
PF00380.20,TIGR01063,pearson,['genome_avg_NOSC'],two-sided,50051,0.009811659309094486,[0.   0.02],0.028160123926143282,0.029051189832778938,fdr_bh,Ribosomal protein S9/S16,"DNA gyrase, A subunit",J,L,"J,L"
PF00380.20,TIGR01066,pearson,['genome_avg_NOSC'],two-sided,56224,0.1319997226887317,[0.12 0.14],6.540448523707983e-217,1.3199209287528264e-216,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uL13,J,J,"J,J"
PF00380.20,TIGR01071,pearson,['genome_avg_NOSC'],two-sided,51959,0.014936339676654364,[0.01 0.02],0.0006622666291367748,0.0006945628278549606,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uL15,J,J,"J,J"
PF00380.20,TIGR01079,pearson,['genome_avg_NOSC'],two-sided,50979,0.07512492941328487,[0.07 0.08],1.0510476377494048e-64,1.417009088657619e-64,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uL24,J,J,"J,J"
PF00380.20,TIGR01082,pearson,['genome_avg_NOSC'],two-sided,49641,0.13087307584160895,[0.12 0.14],1.6650104712925962e-188,3.1268213479824136e-188,fdr_bh,Ribosomal protein S9/S16,UDP-N-acetylmuramate--L-alanine ligase,J,M,"J,M"
PF00380.20,TIGR01087,pearson,['genome_avg_NOSC'],two-sided,51066,0.0032441276585125104,[-0.01  0.01],0.46351093054929204,0.46823260386558363,fdr_bh,Ribosomal protein S9/S16,UDP-N-acetylmuramoylalanine--D-glutamate ligase,J,M,"J,M"
PF00380.20,TIGR01128,pearson,['genome_avg_NOSC'],two-sided,50209,0.10585664005993642,[0.1  0.11],4.6950687280863506e-125,7.486107797797353e-125,fdr_bh,Ribosomal protein S9/S16,"DNA polymerase III, delta subunit",J,L,"J,L"
PF00380.20,TIGR01146,pearson,['genome_avg_NOSC'],two-sided,45428,0.08040748108202934,[0.07 0.09],4.849562741139858e-66,6.574117708702978e-66,fdr_bh,Ribosomal protein S9/S16,"ATP synthase F1, gamma subunit",J,C,"C,J"
PF00380.20,TIGR01164,pearson,['genome_avg_NOSC'],two-sided,50774,0.11854932364221399,[0.11 0.13],2.7157911290687662e-158,4.6848873306477385e-158,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uL16,J,J,"J,J"
PF00380.20,TIGR01169,pearson,['genome_avg_NOSC'],two-sided,50208,0.23883661221114605,[0.23 0.25],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uL1,J,J,"J,J"
PF00380.20,TIGR01171,pearson,['genome_avg_NOSC'],two-sided,50730,0.2971747691750619,[0.29 0.31],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uL2,J,J,"J,J"
PF00380.20,TIGR01302,pearson,['genome_avg_NOSC'],two-sided,45305,0.0837445682929518,[0.07 0.09],2.6103828434733964e-71,3.592546935697774e-71,fdr_bh,Ribosomal protein S9/S16,inosine-5'-monophosphate dehydrogenase,J,F,"F,J"
PF00380.20,TIGR01391,pearson,['genome_avg_NOSC'],two-sided,51056,0.07837466852290166,[0.07 0.09],2.215802371273339e-70,3.043052304460789e-70,fdr_bh,Ribosomal protein S9/S16,DNA primase,J,L,"J,L"
PF00380.20,TIGR01393,pearson,['genome_avg_NOSC'],two-sided,52154,0.126449826194438,[0.12 0.13],8.030310198964253e-185,1.488870808117496e-184,fdr_bh,Ribosomal protein S9/S16,elongation factor 4,J,J,"J,J"
PF00380.20,TIGR01394,pearson,['genome_avg_NOSC'],two-sided,49328,0.32103007011398144,[0.31 0.33],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,GTP-binding protein TypA/BipA,J,T,"J,T"
PF00380.20,TIGR01510,pearson,['genome_avg_NOSC'],two-sided,49937,0.019326067381936464,[0.01 0.03],1.5676004451620798e-05,1.6638423039181284e-05,fdr_bh,Ribosomal protein S9/S16,pantetheine-phosphate adenylyltransferase,J,H,"H,J"
PF00380.20,TIGR01632,pearson,['genome_avg_NOSC'],two-sided,50540,0.08443400643523433,[0.08 0.09],1.28137845298067e-80,1.8145660758195127e-80,fdr_bh,Ribosomal protein S9/S16,ribosomal protein uL11,J,J,"J,J"
PF00380.20,TIGR01951,pearson,['genome_avg_NOSC'],two-sided,52246,0.1420253923653385,[0.13 0.15],1.6594991440941444e-233,3.5222425353246703e-233,fdr_bh,Ribosomal protein S9/S16,transcription antitermination factor NusB,J,K,"J,K"
PF00380.20,TIGR01953,pearson,['genome_avg_NOSC'],two-sided,53831,0.18035926560627483,[0.17 0.19],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,transcription termination factor NusA,J,K,"J,K"
PF00380.20,TIGR02012,pearson,['genome_avg_NOSC'],two-sided,51943,0.16503442772190596,[0.16 0.17],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,protein RecA,J,L,"J,L"
PF00380.20,TIGR02013,pearson,['genome_avg_NOSC'],two-sided,49335,0.16547899624015666,[0.16 0.17],8.069718276447434e-300,2.0504551065421594e-299,fdr_bh,Ribosomal protein S9/S16,"DNA-directed RNA polymerase, beta subunit",J,K,"J,K"
PF00380.20,TIGR02027,pearson,['genome_avg_NOSC'],two-sided,51714,0.26555053585898464,[0.26 0.27],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,"DNA-directed RNA polymerase, alpha subunit",J,K,"J,K"
PF00380.20,TIGR02075,pearson,['genome_avg_NOSC'],two-sided,50355,0.09804698438687022,[0.09 0.11],8.734241329311516e-108,1.3260149498465708e-107,fdr_bh,Ribosomal protein S9/S16,UMP kinase,J,F,"F,J"
PF00380.20,TIGR02191,pearson,['genome_avg_NOSC'],two-sided,50200,0.000839840665062567,[-0.01  0.01],0.8507490576156226,0.8530189961207056,fdr_bh,Ribosomal protein S9/S16,ribonuclease III,J,J,"J,J"
PF00380.20,TIGR02273,pearson,['genome_avg_NOSC'],two-sided,46267,0.1908392343831291,[0.18 0.2 ],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,16S rRNA processing protein RimM,J,J,"J,J"
PF00380.20,TIGR02350,pearson,['genome_avg_NOSC'],two-sided,47074,0.07610365951277649,[0.07 0.09],2.045875571231291e-61,2.7324264082662583e-61,fdr_bh,Ribosomal protein S9/S16,chaperone protein DnaK,J,J,"J,J"
PF00380.20,TIGR02386,pearson,['genome_avg_NOSC'],two-sided,48058,0.12318600437763055,[0.11 0.13],8.073422066749521e-162,1.4076735911255577e-161,fdr_bh,Ribosomal protein S9/S16,"DNA-directed RNA polymerase, beta' subunit",J,K,"J,K"
PF00380.20,TIGR02397,pearson,['genome_avg_NOSC'],two-sided,51999,0.13852476561376229,[0.13 0.15],4.3259389424193886e-221,8.837540500393258e-221,fdr_bh,Ribosomal protein S9/S16,"DNA polymerase III, subunit gamma and tau",J,L,"J,L"
PF00380.20,TIGR02432,pearson,['genome_avg_NOSC'],two-sided,50340,0.10910308254235114,[0.1  0.12],4.17207829497232e-133,6.773223971373888e-133,fdr_bh,Ribosomal protein S9/S16,tRNA(Ile)-lysidine synthetase,J,J,"J,J"
PF00380.20,TIGR02729,pearson,['genome_avg_NOSC'],two-sided,52884,0.12294194156495082,[0.11 0.13],3.6578952379166997e-177,6.642261444233274e-177,fdr_bh,Ribosomal protein S9/S16,Obg family GTPase CgtA,J,J,"J,J"
PF00380.20,TIGR03263,pearson,['genome_avg_NOSC'],two-sided,50348,0.13216949087937876,[0.12 0.14],5.86313579730892e-195,1.1223267987342007e-194,fdr_bh,Ribosomal protein S9/S16,guanylate kinase,J,F,"F,J"
PF00380.20,TIGR03594,pearson,['genome_avg_NOSC'],two-sided,51496,0.279173875973504,[0.27 0.29],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,ribosome-associated GTPase EngA,J,J,"J,J"
PF00380.20,TIGR03625,pearson,['genome_avg_NOSC'],two-sided,51042,0.24058514289664232,[0.23 0.25],0.0,0.0,fdr_bh,Ribosomal protein S9/S16,50S ribosomal protein uL3,J,J,"J,J"
