Protein names,Gene names,Majority protein IDs,Entry name,C: Gene ontology (biological process),C: Gene ontology (cellular component),C: Gene ontology (molecular function),C: Gene ontology (GO),Length,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,27.5,55,110,220,440,1100
ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit),atpG atpC sll1327,P17253,ATPG_SYNY3,ATP synthesis coupled proton transport [GO:0015986],"plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]","proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]","ATP synthesis coupled proton transport [GO:0015986];plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]",314,21,21,21,73.9,34.605,0,323.31,37174000000,503,20.02202,21.62364,25.07998,25.05592,26.30436,24.16376
NAD(P)H-quinone oxidoreductase subunit K 1 (EC 1.6.5.-) (NAD(P)H dehydrogenase I subunit K 1) (NDH-1 subunit K 1) (NDH-K 1),ndhK1 psbG slr1280,P19050,NDHK1_SYNY3,,thylakoid membrane [GO:0042651],"4 iron, 4 sulfur cluster binding [GO:0051539];metal ion binding [GO:0046872];NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038]","4 iron, 4 sulfur cluster binding [GO:0051539];metal ion binding [GO:0046872];NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038];thylakoid membrane [GO:0042651]",248,17,17,17,73.4,27.345,0,241.59,10364000000,340,4.932016,4.720478,4.212072,3.965908,5.005556,5.24807
NAD(P)H-quinone oxidoreductase subunit J (EC 1.6.5.-) (NAD(P)H dehydrogenase subunit J) (NADH-plastoquinone oxidoreductase subunit J) (NDH-1 subunit J) (NDH-J) (ORF 155),ndhJ slr1281,P19125,NDHJ_SYNY3,cellular respiration [GO:0045333],thylakoid membrane [GO:0042651],NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038],cellular respiration [GO:0045333];NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038];thylakoid membrane [GO:0042651],179,7,7,7,36.3,20.593,0,127.56,2339100000,87,2.850474,2.551362,2.5673,2.698608,2.705728,3.155502
Photosystem I reaction center subunit II (Photosystem I 16 kDa polypeptide) (PSI-D),psaD slr0737,P19569,PSAD_SYNY3,photosynthesis [GO:0015979],photosystem I reaction center [GO:0009538];plasma membrane-derived photosystem I [GO:0030094],,photosynthesis [GO:0015979];photosystem I reaction center [GO:0009538];plasma membrane-derived photosystem I [GO:0030094],141,15,15,15,90.1,15.644,0,323.31,1.86E+11,455,401.7798,332.0224,248.3218,281.4936,288.728,212.7188
Drug sensory protein A (EC 2.7.13.3),dspA dfr sll0698,P20169,DSPA_SYNY3,"regulation of transcription, DNA-templated [GO:0006355];response to herbicide [GO:0009635]",integral component of membrane [GO:0016021];intracellular [GO:0005622];plasma membrane [GO:0005886],ATP binding [GO:0005524];phosphorelay sensor kinase activity [GO:0000155],"ATP binding [GO:0005524];integral component of membrane [GO:0016021];intracellular [GO:0005622];phosphorelay sensor kinase activity [GO:0000155];plasma membrane [GO:0005886];regulation of transcription, DNA-templated [GO:0006355];response to herbicide [GO:0009635]",663,10,10,10,23.7,74.535,0,81.403,770070000,136,0.14976984,0.1916736,0.176667,0.1766166,0.1589382,0.12192382
Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27),trpE slr0738,P20170,TRPE_SYNY3,tryptophan biosynthetic process [GO:0000162],anthranilate synthase complex [GO:0005950],anthranilate synthase activity [GO:0004049];metal ion binding [GO:0046872],anthranilate synthase activity [GO:0004049];anthranilate synthase complex [GO:0005950];metal ion binding [GO:0046872];tryptophan biosynthetic process [GO:0000162],508,17,17,17,33.3,57.146,0,127.62,2395100000,194,0.7725036,0.7265244,0.7183748,0.6413688,0.6774366,0.486335
Delta(12)-fatty-acid desaturase (EC 1.14.19.6),desA slr1350,P20388,DESA_SYNY3,unsaturated fatty acid biosynthetic process [GO:0006636],integral component of membrane [GO:0016021];plasma membrane [GO:0005886],Delta12-fatty-acid desaturase activity [GO:0102985],Delta12-fatty-acid desaturase activity [GO:0102985];integral component of membrane [GO:0016021];plasma membrane [GO:0005886];unsaturated fatty acid biosynthetic process [GO:0006636],351,3,3,3,12.3,40.495,0,20.828,282600000,37,0.081515567,0.09851705,0.1719063,0.25462125,0.231779,0.15277766
Acyl carrier protein (ACP),acpP acp ssl2084,P20804,ACP_SYNY3,lipid A biosynthetic process [GO:0009245],cytosol [GO:0005829],acyl binding [GO:0000035];acyl carrier activity [GO:0000036];phosphopantetheine binding [GO:0031177],acyl binding [GO:0000035];acyl carrier activity [GO:0000036];cytosol [GO:0005829];lipid A biosynthetic process [GO:0009245];phosphopantetheine binding [GO:0031177],77,2,2,2,26,8.5895,0,54.235,775040000,15,2.836706,2.1402,1.773112,1.881098,1.825702,1.691428
Plastocyanin,petE sll0199,P21697,PLAS_SYNY3,,thylakoid membrane [GO:0042651],copper ion binding [GO:0005507];electron transfer activity [GO:0009055],copper ion binding [GO:0005507];electron transfer activity [GO:0009055];thylakoid membrane [GO:0042651],126,4,4,4,57.1,13.146,0,323.31,9799400000,148,16.767578,11.141758,15.38556,16.28875,15.240792,16.405354
60 kDa chaperonin 2 (GroEL protein 2) (Protein Cpn60 2),groL2 cpn60-2 groEL-2 groEL2 sll0416,P22034,CH602_SYNY3,chaperone-mediated protein folding [GO:0061077];'de novo' protein folding [GO:0006458];protein refolding [GO:0042026],GroEL-GroES complex [GO:1990220],ATP binding [GO:0005524];protein binding involved in protein folding [GO:0044183];unfolded protein binding [GO:0051082],ATP binding [GO:0005524];chaperone-mediated protein folding [GO:0061077];'de novo' protein folding [GO:0006458];GroEL-GroES complex [GO:1990220];protein binding involved in protein folding [GO:0044183];protein refolding [GO:0042026];unfolded protein binding [GO:0051082],552,64,63,63,75.4,57.774,0,323.31,1.81E+11,2049,34.69314,40.69386,45.61856,43.78836,50.4166,58.31588
Uncharacterized ABC transporter ATP-binding protein sll0415,sll0415,P22040,Y415_SYNY3,,,ATP binding [GO:0005524];ATPase activity [GO:0016887],ATP binding [GO:0005524];ATPase activity [GO:0016887],354,7,7,7,36.4,39.5,0,100.98,811540000,86,0.4770012,0.4223036,0.3107134,0.4017486,0.4450344,0.4641962
Chaperone protein dnaK2 (HSP70-2) (Heat shock 70 kDa protein 2) (Heat shock protein 70-2),dnaK2 dnaK sll0170,P22358,DNAK2_SYNY3,protein folding [GO:0006457],,ATP binding [GO:0005524];unfolded protein binding [GO:0051082],ATP binding [GO:0005524];protein folding [GO:0006457];unfolded protein binding [GO:0051082],636,62,62,62,73.4,67.613,0,323.31,1.03E+11,1635,16.0433,18.78246,21.36408,20.42708,21.5325,27.20066
50S ribosomal protein L7/L12,rplL rpl12 sll1746,P23349,RL7_SYNY3,translation [GO:0006412],ribosome [GO:0005840],structural constituent of ribosome [GO:0003735],ribosome [GO:0005840];structural constituent of ribosome [GO:0003735];translation [GO:0006412],128,9,9,9,64.8,13.259,0,180.34,14379000000,224,12.912382,14.88222,15.12616,15.9022,15.74602,15.0021
50S ribosomal protein L10,rplJ rpl10 sll1745,P23350,RL10_SYNY3,ribosome biogenesis [GO:0042254];translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625];ribosome biogenesis [GO:0042254];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],173,13,13,13,83.2,18.675,0,323.31,13495000000,161,9.773112,10.90288,11.528848,11.34885,13.71278,14.0189
Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),aroC sll1747,P23353,AROC_SYNY3,aromatic amino acid family biosynthetic process [GO:0009073];chorismate biosynthetic process [GO:0009423],cytosol [GO:0005829],chorismate synthase activity [GO:0004107];FMN binding [GO:0010181],aromatic amino acid family biosynthetic process [GO:0009073];chorismate biosynthetic process [GO:0009423];chorismate synthase activity [GO:0004107];cytosol [GO:0005829];FMN binding [GO:0010181],362,16,16,16,56.4,39.287,0,323.31,6806900000,308,2.280584,2.272232,2.443962,2.367846,2.380024,2.344928
Bacterioferritin (BFR) (EC 1.16.3.1),bfr sll1341,P24602,BFR_SYNY3,cellular iron ion homeostasis [GO:0006879];iron ion transport [GO:0006826],cell [GO:0005623],ferric iron binding [GO:0008199];ferroxidase activity [GO:0004322],cell [GO:0005623];cellular iron ion homeostasis [GO:0006879];ferric iron binding [GO:0008199];ferroxidase activity [GO:0004322];iron ion transport [GO:0006826],156,9,9,9,68.6,18.331,0,323.31,5108900000,144,4.880392,3.945686,3.646992,4.035802,3.870186,2.95688
Cytochrome f,petA sll1317,P26287,CYF_SYNY3,photosynthesis [GO:0015979],cytochrome b6f complex [GO:0009512];integral component of thylakoid membrane [GO:0031361],electron transfer activity [GO:0009055];heme binding [GO:0020037];iron ion binding [GO:0005506],cytochrome b6f complex [GO:0009512];electron transfer activity [GO:0009055];heme binding [GO:0020037];integral component of thylakoid membrane [GO:0031361];iron ion binding [GO:0005506];photosynthesis [GO:0015979],328,17,17,17,52.1,35.23,0,323.31,31211000000,530,21.86156,20.77558,20.46988,23.84428,20.09972,17.23846
Cytochrome b6-f complex iron-sulfur subunit 2 (EC 1.10.9.1) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein 2) (ISP 2) (RISP 2) (Rieske iron-sulfur protein 2),petC2 sll1316,P26290,UCRIB_SYNY3,photosynthesis [GO:0015979],integral component of membrane [GO:0016021];thylakoid membrane [GO:0042651],"2 iron, 2 sulfur cluster binding [GO:0051537];electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158];metal ion binding [GO:0046872];plastoquinol--plastocyanin reductase activity [GO:0009496]","2 iron, 2 sulfur cluster binding [GO:0051537];electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158];integral component of membrane [GO:0016021];metal ion binding [GO:0046872];photosynthesis [GO:0015979];plastoquinol--plastocyanin reductase activity [GO:0009496];thylakoid membrane [GO:0042651]",180,9,9,9,51.1,18.996,0,323.31,15090000000,255,13.44198,11.409188,10.567796,11.4119,10.517884,10.144776
NAD(P)H-quinone oxidoreductase subunit 1 (EC 1.6.5.-) (NAD(P)H dehydrogenase I subunit 1) (NDH-1 subunit 1) (NDH-A),ndhA sll0519,P26522,NU1C_SYNY3,cellular respiration [GO:0045333],integral component of membrane [GO:0016021];thylakoid membrane [GO:0042651],oxidoreductase activity [GO:0016491];quinone binding [GO:0048038],cellular respiration [GO:0045333];integral component of membrane [GO:0016021];oxidoreductase activity [GO:0016491];quinone binding [GO:0048038];thylakoid membrane [GO:0042651],372,4,4,4,16.9,40.548,0,102.76,2896500000,63,1.4303854,1.7150702,1.88964,2.245474,1.6527864,1.444582
"NAD(P)H-quinone oxidoreductase chain 6 (EC 1.6.5.-) (NAD(P)H dehydrogenase I, chain 6) (NDH-1, chain 6)",ndhG sll0521,P26523,NU6C_SYNY3,,integral component of membrane [GO:0016021],NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038],integral component of membrane [GO:0016021];NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038],198,4,4,4,12.1,21.522,0,103.15,1651100000,106,2.393938,2.3174772,3.322616,3.883204,2.92557,2.437366
NAD(P)H-quinone oxidoreductase subunit I (EC 1.6.5.-) (NAD(P)H dehydrogenase I subunit I) (NDH-1 subunit I) (NDH-I),ndhI sll0520,P26525,NDHI_SYNY3,,thylakoid membrane [GO:0042651],"4 iron, 4 sulfur cluster binding [GO:0051539];metal ion binding [GO:0046872];NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038]","4 iron, 4 sulfur cluster binding [GO:0051539];metal ion binding [GO:0046872];NADH dehydrogenase (ubiquinone) activity [GO:0008137];quinone binding [GO:0048038];thylakoid membrane [GO:0042651]",193,11,11,11,60.6,22.15,0,127.53,4151300000,100,2.183446,2.236744,2.12186,2.361596,2.44368,2.41972
ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),atpD atpB slr1329,P26527,ATPB_SYNY3,ATP synthesis coupled proton transport [GO:0015986],"plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]","ATP binding [GO:0005524];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]","ATP binding [GO:0005524];ATP synthesis coupled proton transport [GO:0015986];plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]",483,44,44,44,96.1,51.732,0,323.31,2.89E+11,1681,66.86284,76.03148,90.3137,92.09888,93.31812,90.82812
ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit),atpC atpE slr1330,P26533,ATPE_SYNY3,ATP synthesis coupled proton transport [GO:0015986],"plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]","proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]","ATP synthesis coupled proton transport [GO:0015986];plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]",136,5,5,5,38.2,14.58,0,164.12,3849300000,116,6.887068,6.227208,6.492976,7.281592,7.579024,7.669142
ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6),atpB atpI sll1322,P27178,ATP6_SYNY3,ATP synthesis coupled proton transport [GO:0015986],"integral component of plasma membrane [GO:0005887];proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263];thylakoid membrane [GO:0042651]","proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]","ATP synthesis coupled proton transport [GO:0015986];integral component of plasma membrane [GO:0005887];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933];proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263];thylakoid membrane [GO:0042651]",276,4,4,4,18.5,30.698,0,115.39,2307000000,130,0.9442716,1.924621,2.9198956,3.400256,1.5954196,0.929279
ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),atpA sll1326,P27179,ATPA_SYNY3,ATP synthesis coupled proton transport [GO:0015986],"plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]","ATP binding [GO:0005524];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]","ATP binding [GO:0005524];ATP synthesis coupled proton transport [GO:0015986];plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]",503,37,37,37,69.2,53.965,0,323.31,2.94E+11,1589,89.58768,90.94466,99.88552,103.06738,108.35974,106.5252
ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),atpH atpD sll1325,P27180,ATPD_SYNY3,ATP synthesis coupled proton transport [GO:0015986],"plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]","proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]","ATP synthesis coupled proton transport [GO:0015986];plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933];proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261];thylakoid membrane [GO:0042651]",185,16,16,16,92.4,20.093,0,323.31,14835000000,437,9.024308,9.028212,11.951376,12.943602,10.61848,8.633252
ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),atpF sll1324,P27181,ATPF_SYNY3,ATP synthesis coupled proton transport [GO:0015986],"integral component of membrane [GO:0016021];plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263];thylakoid membrane [GO:0042651]",hydrogen ion transmembrane transporter activity [GO:0015078],"ATP synthesis coupled proton transport [GO:0015986];hydrogen ion transmembrane transporter activity [GO:0015078];integral component of membrane [GO:0016021];plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263];thylakoid membrane [GO:0042651]",179,18,18,18,60.3,19.804,0,323.31,12163000000,294,10.764694,10.074406,11.247672,11.46742,10.976402,11.23926
ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein),atpE atpH ssl2615,P27182,ATPL_SYNY3,ATP hydrolysis coupled proton transport [GO:0015991];ATP synthesis coupled proton transport [GO:0015986],"integral component of membrane [GO:0016021];proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263];thylakoid membrane [GO:0042651]","lipid binding [GO:0008289];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]","ATP hydrolysis coupled proton transport [GO:0015991];ATP synthesis coupled proton transport [GO:0015986];integral component of membrane [GO:0016021];lipid binding [GO:0008289];proton-transporting ATP synthase activity, rotational mechanism [GO:0046933];proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263];thylakoid membrane [GO:0042651]",81,2,2,2,61.7,7.9683,0,214.43,189790000,41,1.0137166,0.8487188,1.0689074,1.104134,1.8223282,1.951094
ATP synthase subunit b' (ATP synthase F(0) sector subunit b') (ATPase subunit II) (F-type ATPase subunit b') (F-ATPase subunit b'),atpG sll1323,P27183,ATPX_SYNY3,ATP synthesis coupled proton transport [GO:0015986],"integral component of membrane [GO:0016021];plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263];thylakoid membrane [GO:0042651]",hydrogen ion transmembrane transporter activity [GO:0015078],"ATP synthesis coupled proton transport [GO:0015986];hydrogen ion transmembrane transporter activity [GO:0015078];integral component of membrane [GO:0016021];plasma membrane proton-transporting ATP synthase complex [GO:0045260];proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263];thylakoid membrane [GO:0042651]",143,9,9,9,59.4,16.245,0,323.31,5116100000,191,4.951812,4.785626,5.129,4.368986,5.921334,6.015288
Ferredoxin-1 (Ferredoxin I),petF fed ssl0020,P27320,FER_SYNY3,,,"2 iron, 2 sulfur cluster binding [GO:0051537];electron transfer activity [GO:0009055];metal ion binding [GO:0046872]","2 iron, 2 sulfur cluster binding [GO:0051537];electron transfer activity [GO:0009055];metal ion binding [GO:0046872]",97,2,2,2,41.2,10.363,0,132.54,6506100000,97,21.7631,18.90528,26.13488,26.53808,24.97218,21.03338
Cytochrome b6-f complex subunit 4 (17 kDa polypeptide),petD slr0343,P27589,PETD_SYNY3,photosynthetic electron transport chain [GO:0009767],cytochrome b6f complex [GO:0009512];integral component of membrane [GO:0016021];thylakoid membrane [GO:0042651],"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]","cytochrome b6f complex [GO:0009512];electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156];integral component of membrane [GO:0016021];photosynthetic electron transport chain [GO:0009767];thylakoid membrane [GO:0042651]",160,3,3,3,13.1,17.444,0,78.362,6539600000,86,17.02555,12.618074,11.013308,12.226136,10.215994,11.401676
